Darwin;30.9
Rostov-on-Don;10.4
Aden;40.0
Albuquerque;-5.8
Almaty;19.5
Lusaka;11.4
Frankfurt;-8.3
Dampier;30.3
Antsiranana;27.4
Libreville;25.0
Skopje;14.0
Charlotte;5.8
Tripoli;16.1
Porto;21.8
Veracruz;23.0
Montreal;16.6
Harbin;-4.5
Garissa;28.1
Lubumbashi;16.4
Baghdad;15.5
Napoli;23.8
Tripoli;31.0
Praia;20.5
Sochi;29.3
Louisville;-4.6
Lagos;21.4
Yakutsk;-5.9
Jerusalem;29.6
Abéché;31.3
Ho Chi Minh City;46.4
Dampier;33.6
Anadyr;-7.7
Indianapolis;3.1
Monterrey;24.4
Aden;32.6
Napier;11.3
Berlin;7.9
Hamilton;-6.6
Milwaukee;11.6
Dallas;9.0
Whitehorse;4.6
Bangkok;39.7
Dar es Salaam;10.8
Kuwait City;24.0
Da Nang;20.6
Split;20.6
Murmansk;-8.4
Timbuktu;27.2
Maputo;28.4
Wau;14.9
Livingstone;20.0
Santo Domingo;32.4
Hamilton;7.4
Fianarantsoa;27.3
Kampala;28.6
Mexicali;28.9
Louisville;8.3
Louisville;5.1
Bangkok;22.6
Tirana;23.1
Niamey;28.8
Rostov-on-Don;10.3
Karonga;27.0
Nassau;38.7
Garoua;32.8
Tehran;19.3
Ouagadougou;24.5
Bilbao;15.1
Sacramento;35.7
Reggane;13.4
Ljubljana;2.1
Ljubljana;3.7
Wellington;6.5
Pyongyang;21.9
Honiara;32.9
Sokoto;17.9
Tallinn;8.2
Kathmandu;19.6
Gjoa Haven;-23.8
Tallinn;-20.0
Roseau;29.9
Beirut;18.2
Saskatoon;-0.1
Columbus;16.2
Heraklion;11.0
Thiès;30.4
Omaha;-1.1
Busan;14.5
Gabès;0.5
Johannesburg;17.1
St. John's;7.3
Indianapolis;-1.6
Fukuoka;17.3
Port Moresby;36.3
Erbil;17.2
Zanzibar City;33.9
Heraklion;0.1
Kolkata;20.6
Kolkata;34.2
San Salvador;13.5
Marrakesh;24.6
Erzurum;-14.9
Ségou;42.0
Tromsø;-5.7
Kuopio;-19.4
Hiroshima;15.8
Dampier;27.7
San José;21.1
Tel Aviv;15.4
Chicago;10.7
Toliara;33.3
Oslo;9.8
Dakar;4.7
Sochi;-0.7
Alice Springs;3.8
Tijuana;-1.6
Toluca;23.6
Panama City;27.6
Yinchuan;25.0
San Francisco;6.0
Hobart;16.5
Andorra la Vella;12.5
Almaty;3.9
Palermo;30.3
Banjul;26.6
Kingston;51.2
Muscat;59.0
Palermo;20.8
Timbuktu;16.6
San Juan;18.8
Palm Springs;22.2
Abéché;29.4
Garissa;43.5
Milan;14.1
Zagreb;6.4
Nuuk;18.6
Fianarantsoa;6.8
Kunming;0.8
Heraklion;13.7
Helsinki;-4.2
Baltimore;18.0
Riyadh;11.6
Milan;10.2
Baltimore;14.7
Kyiv;-9.0
Lubumbashi;19.3
Toamasina;18.3
Montreal;12.5
Aden;40.6
Dakar;9.4
Port Vila;42.0
Durban;37.5
Toronto;7.6
Kathmandu;19.3
Skopje;32.1
Lubumbashi;13.2
Kankan;29.1
La Ceiba;24.7
Cairo;23.7
Kinshasa;40.6
Nuuk;-2.6
Columbus;-8.0
Cotonou;24.8
Vancouver;8.6
Thessaloniki;10.4
Lake Tekapo;10.1
Hobart;18.0
Garoua;43.8
Saskatoon;4.7
Oslo;26.8
Palermo;33.8
Kingston;28.4
Marrakesh;33.8
Darwin;10.0
Rome;4.0
Chiang Mai;15.9
Dhaka;32.9
Berlin;7.2
Changsha;17.0
Skopje;22.1
İzmir;30.9
Anchorage;-11.3
Hong Kong;21.0
Vilnius;4.1
Vientiane;23.1
Nuuk;-11.1
Almaty;11.1
Reykjavík;0.3
Amsterdam;12.4
Jakarta;9.7
Burnie;11.3
Phoenix;18.3
Nouadhibou;11.5
Brazzaville;32.2
Tokyo;16.8
Palmerston North;1.8
Stockholm;11.6
Vancouver;12.3
Erzurum;-3.1
Malabo;22.1
Abéché;14.0
Cairns;30.7
N'Djamena;31.8
Luanda;36.1
Tehran;33.6
Tbilisi;21.9
Tampa;8.9
Entebbe;21.1
Darwin;26.7
Washington, D.C.;13.4
Nicosia;26.1
Chicago;2.1
Gjoa Haven;-11.1
Abidjan;12.0
Tampa;25.5
Maun;20.1
Suwałki;1.7
Lomé;41.8
San Diego;27.0
Sapporo;18.7
Erbil;24.3
Tehran;-5.6
Dakar;16.3
Roseau;15.5
Nairobi;18.4
Split;28.9
Nakhon Ratchasima;35.1
Ndola;26.3
Toronto;-7.6
Vienna;9.3
Memphis;31.2
Kuopio;4.9
Houston;19.0
Oklahoma City;31.8
Madrid;0.2
Accra;16.3
Guatemala City;20.2
Seville;11.6
Timbuktu;18.5
San Antonio;29.3
Chiang Mai;39.1
Flores,  Petén;47.6
Saint Petersburg;15.5
Xi'an;9.2
Mombasa;35.4
Darwin;35.3
Sokoto;32.0
Chișinău;15.5
Niamey;27.6
Irkutsk;-12.8
Hanoi;24.4
Phnom Penh;20.6
Gaborone;17.3
Port Moresby;28.2
Upington;18.0
Dushanbe;10.5
Kuwait City;39.0
Tamanrasset;29.8
Gaborone;25.8
Makurdi;30.8
Ouagadougou;14.9
Port Moresby;25.6
Amsterdam;2.4
Kyiv;10.4
Hong Kong;18.2
Mango;25.5
Belize City;47.8
Antsiranana;31.3
Dallas;26.0
Singapore;26.1
Monaco;16.0
Nakhon Ratchasima;25.9
Washington, D.C.;6.3
Auckland;25.4
Abha;7.0
New Delhi;35.3
Palermo;21.2
Hanoi;20.3
Perth;6.5
Boise;17.1
Dubai;20.2
Albuquerque;14.8
Seville;13.5
Edmonton;10.3
Erzurum;8.9
Tehran;-1.6
Los Angeles;7.8
Yerevan;15.8
Tabora;25.1
Shanghai;25.4
Upington;6.1
Tirana;21.7
Mumbai;28.8
Lake Tekapo;14.4
Damascus;27.5
Mango;20.7
Jayapura;28.5
Kinshasa;31.5
Beirut;31.8
Zürich;-3.9
Khartoum;25.0
Guadalajara;19.5
Napoli;12.8
Phoenix;34.5
Columbus;11.9
Dublin;25.5
Kyiv;2.6
Marseille;3.4
Jos;16.3
Tijuana;16.1
Yellowknife;-3.3
Bordeaux;-0.6
Mogadishu;28.8
Nouadhibou;24.1
Bulawayo;18.1
Zürich;-2.4
Willemstad;35.9
Ouagadougou;2.9
Conakry;24.2
Frankfurt;11.9
Seoul;11.8
Kano;31.7
Vaduz;32.6
Bratislava;9.1
Conakry;34.1
Bordeaux;13.5
Mumbai;31.7
Mexico City;1.5
Cairo;11.5
Launceston;15.7
Fairbanks;3.4
Sana'a;23.6
Ürümqi;-11.2
Sacramento;24.5
Fukuoka;41.5
Sofia;11.6
Boston;-8.4
Karachi;28.5
Helsinki;-0.7
Iqaluit;18.7
Canberra;14.7
